page,project,url,wikilink
جائحة فيروس كورونا في غينيا بيساو 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%BA%D9%8A%D9%86%D9%8A%D8%A7_%D8%A8%D9%8A%D8%B3%D8%A7%D9%88_2020,[[ar:جائحة فيروس كورونا في غينيا بيساو 2020
COVID-19-Pandemie in Guinea-Bissau,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Guinea-Bissau,[[de:COVID-19-Pandemie in Guinea-Bissau
COVID-19 pandemic in Guinea-Bissau,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Guinea-Bissau,[[en:COVID-19 pandemic in Guinea-Bissau
Pandemia de enfermedad por coronavirus de 2020 en Guinea-Bisáu,es.wikipedia,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Guinea-Bis%C3%A1u,[[es:Pandemia de enfermedad por coronavirus de 2020 en Guinea-Bisáu
התפרצות נגיף הקורונה בגינאה ביסאו,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%92%D7%99%D7%A0%D7%90%D7%94_%D7%91%D7%99%D7%A1%D7%90%D7%95,[[he:התפרצות נגיף הקורונה בגינאה ביסאו
기니비사우의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EA%B8%B0%EB%8B%88%EB%B9%84%EC%82%AC%EC%9A%B0%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:기니비사우의 코로나바이러스감염증-19 범유행
Pandemia de COVID-19 na Guiné-Bissau,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_na_Guin%C3%A9-Bissau,[[pt:Pandemia de COVID-19 na Guiné-Bissau
Коронавірусна хвороба 2019 у Гвінеї-Бісау,uk.wikipedia,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D1%96%D1%80%D1%83%D1%81%D0%BD%D0%B0_%D1%85%D0%B2%D0%BE%D1%80%D0%BE%D0%B1%D0%B0_2019_%D1%83_%D0%93%D0%B2%D1%96%D0%BD%D0%B5%D1%97-%D0%91%D1%96%D1%81%D0%B0%D1%83,[[uk:Коронавірусна хвороба 2019 у Гвінеї-Бісау
وباء فيروس كورونا في ولاية أوهايو الأمريكية 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D9%88%D8%A8%D8%A7%D8%A1_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%88%D9%84%D8%A7%D9%8A%D8%A9_%D8%A3%D9%88%D9%87%D8%A7%D9%8A%D9%88_%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9_2020,[[ar:وباء فيروس كورونا في ولاية أوهايو الأمريكية 2020
COVID-19 pandemic in Ohio,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Ohio,[[en:COVID-19 pandemic in Ohio
COVID-19 pandemic in Indiana,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Indiana,[[en:COVID-19 pandemic in Indiana
Pandemi koronavirus di Indiana,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Indiana,[[id:Pandemi koronavirus di Indiana
COVID-19-Pandemie im Main-Tauber-Kreis,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_im_Main-Tauber-Kreis,[[de:COVID-19-Pandemie im Main-Tauber-Kreis
"2020 coronavirus pandemic in Selangor, Kuala Lumpur and Putrajaya",en.wikipedia,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Selangor,_Kuala_Lumpur_and_Putrajaya","[[en:2020 coronavirus pandemic in Selangor, Kuala Lumpur and Putrajaya|2020 coronavirus pandemic in Selangor, Kuala Lumpur and Putrajaya]]"
2019冠状病毒病陕西省疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E9%99%95%E8%A5%BF%E7%9C%81%E7%96%AB%E6%83%85,[[zh:2019冠状病毒病陕西省疫情
COVID-19-Pandemie in Berlin,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Berlin,[[de:COVID-19-Pandemie in Berlin
جائحة فيروس كورونا في السنغال 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%B3%D9%86%D8%BA%D8%A7%D9%84_2020,[[ar:جائحة فيروس كورونا في السنغال 2020
Pandèmia per coronavirus de 2020 a Senegal,ca.wikipedia,https://ca.wikipedia.org/wiki/Pand%C3%A8mia_per_coronavirus_de_2020_a_Senegal,[[ca:Pandèmia per coronavirus de 2020 a Senegal
COVID-19-Pandemie im Senegal,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_im_Senegal,[[de:COVID-19-Pandemie im Senegal
COVID-19 pandemic in Senegal,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Senegal,[[en:COVID-19 pandemic in Senegal
Pandémie de Covid-19 au Sénégal,fr.wikipedia,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_Covid-19_au_S%C3%A9n%C3%A9gal,[[fr:Pandémie de Covid-19 au Sénégal
התפרצות נגיף הקורונה בסנגל,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%A1%D7%A0%D7%92%D7%9C,[[he:התפרצות נגיף הקורונה בסנגל
Pandemi maladi kowonaviris an 2020 nan Senegal,ht.wikipedia,https://ht.wikipedia.org/wiki/Pandemi_maladi_kowonaviris_an_2020_nan_Senegal,[[ht:Pandemi maladi kowonaviris an 2020 nan Senegal
Pandemia di COVID-19 del 2020 in Senegal,it.wikipedia,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Senegal,[[it:Pandemia di COVID-19 del 2020 in Senegal
세네갈의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%84%B8%EB%84%A4%EA%B0%88%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:세네갈의 코로나바이러스감염증-19 범유행
Pandemia de COVID-19 no Senegal,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_no_Senegal,[[pt:Pandemia de COVID-19 no Senegal
Senegal'de COVID-19 pandemisi,tr.wikipedia,https://tr.wikipedia.org/wiki/Senegal%27de_COVID-19_pandemisi,[[tr:Senegal'de COVID-19 pandemisi
Đại dịch COVID-19 tại Sénégal,vi.wikipedia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_S%C3%A9n%C3%A9gal,[[vi:Đại dịch COVID-19 tại Sénégal
ضوابط الأخطار المهنية المتعلقة بكوفيد-19,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%B6%D9%88%D8%A7%D8%A8%D8%B7_%D8%A7%D9%84%D8%A3%D8%AE%D8%B7%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D9%87%D9%86%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D9%84%D9%82%D8%A9_%D8%A8%D9%83%D9%88%D9%81%D9%8A%D8%AF-19,[[ar:ضوابط الأخطار المهنية المتعلقة بكوفيد-19
কর্মস্থলে কোভিড-১৯ সংক্রমণ ঝুঁকি নিয়ন্ত্রণ ব্যবস্থাপনা,bn.wikipedia,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%B2%E0%A7%87_%E0%A6%95%E0%A7%8B%E0%A6%AD%E0%A6%BF%E0%A6%A1-%E0%A7%A7%E0%A7%AF_%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%A3_%E0%A6%9D%E0%A7%81%E0%A6%81%E0%A6%95%E0%A6%BF_%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%A3_%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%AA%E0%A6%A8%E0%A6%BE,[[bn:কর্মস্থলে কোভিড-১৯ সংক্রমণ ঝুঁকি নিয়ন্ত্রণ ব্যবস্থাপনা
Workplace hazard controls for COVID-19,en.wikipedia,https://en.wikipedia.org/wiki/Workplace_hazard_controls_for_COVID-19,[[en:Workplace hazard controls for COVID-19
Контроль риска на рабочем месте во время COVID-19,ru.wikipedia,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C_%D1%80%D0%B8%D1%81%D0%BA%D0%B0_%D0%BD%D0%B0_%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%BC_%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%B2%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D1%8F_COVID-19,[[ru:Контроль риска на рабочем месте во время COVID-19
Контроль ризику на робочому місці під час COVID-19,uk.wikipedia,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C_%D1%80%D0%B8%D0%B7%D0%B8%D0%BA%D1%83_%D0%BD%D0%B0_%D1%80%D0%BE%D0%B1%D0%BE%D1%87%D0%BE%D0%BC%D1%83_%D0%BC%D1%96%D1%81%D1%86%D1%96_%D0%BF%D1%96%D0%B4_%D1%87%D0%B0%D1%81_COVID-19,[[uk:Контроль ризику на робочому місці під час COVID-19
Kiểm soát nguy cơ nơi làm việc với COVID-19,vi.wikipedia,https://vi.wikipedia.org/wiki/Ki%E1%BB%83m_so%C3%A1t_nguy_c%C6%A1_n%C6%A1i_l%C3%A0m_vi%E1%BB%87c_v%E1%BB%9Bi_COVID-19,[[vi:Kiểm soát nguy cơ nơi làm việc với COVID-19
2019冠状病毒病福建省疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E7%A6%8F%E5%BB%BA%E7%9C%81%E7%96%AB%E6%83%85,[[zh:2019冠状病毒病福建省疫情
جائحة فيروس كورونا في أنغولا 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A3%D9%86%D8%BA%D9%88%D9%84%D8%A7_2020,[[ar:جائحة فيروس كورونا في أنغولا 2020
Anqolada koronavirus pandemiyası 2020,az.wikipedia,https://az.wikipedia.org/wiki/Anqolada_koronavirus_pandemiyas%C4%B1_2020,[[az:Anqolada koronavirus pandemiyası 2020
COVID-19-Pandemie in Angola,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Angola,[[de:COVID-19-Pandemie in Angola
COVID-19 pandemic in Angola,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Angola,[[en:COVID-19 pandemic in Angola
Pandémie de Covid-19 en Angola,fr.wikipedia,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_Covid-19_en_Angola,[[fr:Pandémie de Covid-19 en Angola
Pandemia por coronavirus de 2020 en Angola,gl.wikipedia,https://gl.wikipedia.org/wiki/Pandemia_por_coronavirus_de_2020_en_Angola,[[gl:Pandemia por coronavirus de 2020 en Angola
התפרצות נגיף הקורונה באנגולה,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%90%D7%A0%D7%92%D7%95%D7%9C%D7%94,[[he:התפרצות נגיף הקורונה באנגולה
Pandemi koronavirus di Angola,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Angola,[[id:Pandemi koronavirus di Angola
앙골라의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%95%99%EA%B3%A8%EB%9D%BC%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:앙골라의 코로나바이러스감염증-19 범유행
ਅੰਗੋਲਾ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020,pa.wikipedia,https://pa.wikipedia.org/wiki/%E0%A8%85%E0%A9%B0%E0%A8%97%E0%A9%8B%E0%A8%B2%E0%A8%BE_%E0%A8%B5%E0%A8%BF%E0%A9%B1%E0%A8%9A_%E0%A8%95%E0%A9%8B%E0%A8%B0%E0%A9%8B%E0%A8%A8%E0%A8%BE%E0%A8%B5%E0%A8%BE%E0%A8%87%E0%A8%B0%E0%A8%B8_%E0%A8%AE%E0%A8%B9%E0%A8%BE%E0%A8%AE%E0%A8%BE%E0%A8%B0%E0%A9%80_2020,[[pa:ਅੰਗੋਲਾ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020
Pandemia COVID-19 w Angoli,pl.wikipedia,https://pl.wikipedia.org/wiki/Pandemia_COVID-19_w_Angoli,[[pl:Pandemia COVID-19 w Angoli
Pandemia de COVID-19 em Angola,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_em_Angola,[[pt:Pandemia de COVID-19 em Angola
Коронавірусна хвороба 2019 в Анголі,uk.wikipedia,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D1%96%D1%80%D1%83%D1%81%D0%BD%D0%B0_%D1%85%D0%B2%D0%BE%D1%80%D0%BE%D0%B1%D0%B0_2019_%D0%B2_%D0%90%D0%BD%D0%B3%D0%BE%D0%BB%D1%96,[[uk:Коронавірусна хвороба 2019 в Анголі
Angolada COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Angolada_COVID-19_pandemiyasi,[[uz:Angolada COVID-19 pandemiyasi
جائحة فيروس كورونا في ماكاو 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%85%D8%A7%D9%83%D8%A7%D9%88_2020,[[ar:جائحة فيروس كورونا في ماكاو 2020
COVID-19 pandemic in Macau,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Macau,[[en:COVID-19 pandemic in Macau
Pandemi koronavirus di Makau,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Makau,[[id:Pandemi koronavirus di Makau
Pandemia di COVID-19 del 2020 a Macao,it.wikipedia,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_a_Macao,[[it:Pandemia di COVID-19 del 2020 a Macao
マカオにおける2019年コロナウイルス感染症の流行状況,ja.wikipedia,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%AB%E3%82%AA%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B2019%E5%B9%B4%E3%82%B3%E3%83%AD%E3%83%8A%E3%82%A6%E3%82%A4%E3%83%AB%E3%82%B9%E6%84%9F%E6%9F%93%E7%97%87%E3%81%AE%E6%B5%81%E8%A1%8C%E7%8A%B6%E6%B3%81,[[ja:マカオにおける2019年コロナウイルス感染症の流行状況
마카오의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EB%A7%88%EC%B9%B4%EC%98%A4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:마카오의 코로나바이러스감염증-19 범유행
Pandemik COVID-19 di Macau,ms.wikipedia,https://ms.wikipedia.org/wiki/Pandemik_COVID-19_di_Macau,[[ms:Pandemik COVID-19 di Macau
Coronacrisis in Macau,nl.wikipedia,https://nl.wikipedia.org/wiki/Coronacrisis_in_Macau,[[nl:Coronacrisis in Macau
ਮਕਾਊ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020,pa.wikipedia,https://pa.wikipedia.org/wiki/%E0%A8%AE%E0%A8%95%E0%A8%BE%E0%A8%8A_%E0%A8%B5%E0%A8%BF%E0%A9%B1%E0%A8%9A_%E0%A8%95%E0%A9%8B%E0%A8%B0%E0%A9%8B%E0%A8%A8%E0%A8%BE%E0%A8%B5%E0%A8%BE%E0%A8%87%E0%A8%B0%E0%A8%B8_%E0%A8%AE%E0%A8%B9%E0%A8%BE%E0%A8%AE%E0%A8%BE%E0%A8%B0%E0%A9%80_2020,[[pa:ਮਕਾਊ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020
Pandemia de COVID-19 em Macau,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_em_Macau,[[pt:Pandemia de COVID-19 em Macau
2020 மக்காவுவில் கொரோனாவைரசுத் தொற்று,ta.wikipedia,https://ta.wikipedia.org/wiki/2020_%E0%AE%AE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B5%E0%AF%81%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D_%E0%AE%95%E0%AF%8A%E0%AE%B0%E0%AF%8B%E0%AE%A9%E0%AE%BE%E0%AE%B5%E0%AF%88%E0%AE%B0%E0%AE%9A%E0%AF%81%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AF%8A%E0%AE%B1%E0%AF%8D%E0%AE%B1%E0%AF%81,[[ta:2020 மக்காவுவில் கொரோனாவைரசுத் தொற்று
Makaoda COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Makaoda_COVID-19_pandemiyasi,[[uz:Makaoda COVID-19 pandemiyasi
Đại dịch COVID-19 tại Ma Cao,vi.wikipedia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Ma_Cao,[[vi:Đại dịch COVID-19 tại Ma Cao
武漢肺炎澳門疫情,zh-yue.wikipedia,https://zh-yue.wikipedia.org/wiki/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E%E6%BE%B3%E9%96%80%E7%96%AB%E6%83%85,[[zh-yue:武漢肺炎澳門疫情
2019冠狀病毒病澳門疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E6%BE%B3%E9%96%80%E7%96%AB%E6%83%85,[[zh:2019冠狀病毒病澳門疫情
Clap for Our Carers,en.wikipedia,https://en.wikipedia.org/wiki/Clap_for_Our_Carers,[[en:Clap for Our Carers
جائحة فيروس كورونا في لبنان 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%84%D8%A8%D9%86%D8%A7%D9%86_2020,[[ar:جائحة فيروس كورونا في لبنان 2020
COVID-19-Pandemie im Libanon,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_im_Libanon,[[de:COVID-19-Pandemie im Libanon
COVID-19 pandemic in Lebanon,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lebanon,[[en:COVID-19 pandemic in Lebanon
התפרצות נגיף הקורונה בלבנון,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%9C%D7%91%D7%A0%D7%95%D7%9F,[[he:התפרצות נגיף הקורונה בלבנון
레바논의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EB%A0%88%EB%B0%94%EB%85%BC%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:레바논의 코로나바이러스감염증-19 범유행
ਲੇਬਨਾਨ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020,pa.wikipedia,https://pa.wikipedia.org/wiki/%E0%A8%B2%E0%A9%87%E0%A8%AC%E0%A8%A8%E0%A8%BE%E0%A8%A8_%E0%A8%B5%E0%A8%BF%E0%A9%B1%E0%A8%9A_%E0%A8%95%E0%A9%8B%E0%A8%B0%E0%A9%8B%E0%A8%A8%E0%A8%BE%E0%A8%B5%E0%A8%BE%E0%A8%87%E0%A8%B0%E0%A8%B8_%E0%A8%AE%E0%A8%B9%E0%A8%BE%E0%A8%AE%E0%A8%BE%E0%A8%B0%E0%A9%80_2020,[[pa:ਲੇਬਨਾਨ ਵਿੱਚ ਕੋਰੋਨਾਵਾਇਰਸ ਮਹਾਮਾਰੀ 2020
Livanda COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Livanda_COVID-19_pandemiyasi,[[uz:Livanda COVID-19 pandemiyasi
2019冠狀病毒病黎巴嫩疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E9%BB%8E%E5%B7%B4%E5%AB%A9%E7%96%AB%E6%83%85,[[zh:2019冠狀病毒病黎巴嫩疫情
SARS-CoV-2,als.wikipedia,https://als.wikipedia.org/wiki/SARS-CoV-2,[[als:SARS-CoV-2
SARS-CoV-2,an.wikipedia,https://an.wikipedia.org/wiki/SARS-CoV-2,[[an:SARS-CoV-2
فيروس كورونا المرتبط بالمتلازمة التنفسية الحادة الشديدة النوع 2,ar.wikipedia,https://ar.wikipedia.org/wiki/%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D8%A7%D9%84%D9%85%D8%B1%D8%AA%D8%A8%D8%B7_%D8%A8%D8%A7%D9%84%D9%85%D8%AA%D9%84%D8%A7%D8%B2%D9%85%D8%A9_%D8%A7%D9%84%D8%AA%D9%86%D9%81%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D8%AD%D8%A7%D8%AF%D8%A9_%D8%A7%D9%84%D8%B4%D8%AF%D9%8A%D8%AF%D8%A9_%D8%A7%D9%84%D9%86%D9%88%D8%B9_2,[[ar:فيروس كورونا المرتبط بالمتلازمة التنفسية الحادة الشديدة النوع 2
سارس-كوڤ-2,arz.wikipedia,https://arz.wikipedia.org/wiki/%D8%B3%D8%A7%D8%B1%D8%B3-%D9%83%D9%88%DA%A4-2,[[arz:سارس-كوڤ-2
SARS-CoV-2,ast.wikipedia,https://ast.wikipedia.org/wiki/SARS-CoV-2,[[ast:SARS-CoV-2
SARS-CoV-2,az.wikipedia,https://az.wikipedia.org/wiki/SARS-CoV-2,[[az:SARS-CoV-2
سارس-کووی-۲,azb.wikipedia,https://azb.wikipedia.org/wiki/%D8%B3%D8%A7%D8%B1%D8%B3-%DA%A9%D9%88%D9%88%DB%8C-%DB%B2,[[azb:سارس-کووی-۲
SARS-CoV-2,ban.wikipedia,https://ban.wikipedia.org/wiki/SARS-CoV-2,[[ban:SARS-CoV-2
Каранавірус цяжкага вострага рэсьпіраторнага сындрому-2,be-tarask.wikipedia,https://be-tarask.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BD%D0%B0%D0%B2%D1%96%D1%80%D1%83%D1%81_%D1%86%D1%8F%D0%B6%D0%BA%D0%B0%D0%B3%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%B3%D0%B0_%D1%80%D1%8D%D1%81%D1%8C%D0%BF%D1%96%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BD%D0%B0%D0%B3%D0%B0_%D1%81%D1%8B%D0%BD%D0%B4%D1%80%D0%BE%D0%BC%D1%83-2,[[be-tarask:Каранавірус цяжкага вострага рэсьпіраторнага сындрому-2
SARS-CoV-2,be.wikipedia,https://be.wikipedia.org/wiki/SARS-CoV-2,[[be:SARS-CoV-2
SARS-CoV-2,bg.wikipedia,https://bg.wikipedia.org/wiki/SARS-CoV-2,[[bg:SARS-CoV-2
